日期,星期,最高温度,最低温度,天气,风向
2024-06-01, 星期六 ,28℃,23℃,阴~小雨,东北风 1级
2024-06-02, 星期日 ,24℃,20℃,小雨,东北风 2级
2024-06-03, 星期一 ,23℃,19℃,小雨,东北风 1级
2024-06-04, 星期二 ,21℃,19℃,阴,东北风 1级
2024-06-05, 星期三 ,29℃,20℃,多云,东南风 1级
2024-06-06, 星期四 ,31℃,22℃,阴~大雨,东风 2级
2024-06-07, 星期五 ,27℃,22℃,小雨~阴,西南风 1级
2024-06-08, 星期六 ,25℃,22℃,中雨~阴,东南风 1级
2024-06-09, 星期日 ,25℃,22℃,多云~阴,西南风 1级
2024-06-10, 星期一 ,31℃,23℃,多云~阴,西风 1级
2024-06-11, 星期二 ,26℃,22℃,小雨~多云,西南风 1级
2024-06-12, 星期三 ,32℃,22℃,多云,东北风 1级
2024-06-13, 星期四 ,31℃,24℃,多云,西北风 1级
2024-06-14, 星期五 ,35℃,24℃,多云~晴,西北风 1级
2024-06-15, 星期六 ,37℃,26℃,多云,东北风 1级
2024-06-16, 星期日 ,33℃,25℃,阴~小雨,东北风 3级
2024-06-17, 星期一 ,29℃,24℃,阴~多云,东南风 1级
2024-06-18, 星期二 ,30℃,25℃,阴~小雨,东北风 2级
2024-06-19, 星期三 ,27℃,25℃,中雨,东北风 1级
2024-06-20, 星期四 ,28℃,24℃,小雨~暴雨,东北风 1级
2024-06-21, 星期五 ,29℃,24℃,阴~多云,西南风 2级
2024-06-22, 星期六 ,32℃,25℃,多云~阴,西南风 1级
2024-06-23, 星期日 ,29℃,25℃,阴,东北风 1级
2024-06-24, 星期一 ,27℃,23℃,小雨,西南风 1级
2024-06-25, 星期二 ,28℃,22℃,小雨~多云,东南风 1级
2024-06-26, 星期三 ,25℃,22℃,小雨~大雨,东北风 1级
2024-06-27, 星期四 ,24℃,21℃,中雨~大雨,东北风 1级
2024-06-28, 星期五 ,26℃,22℃,小雨~阴,东南风 1级
2024-06-29, 星期六 ,31℃,22℃,小雨~多云,西南风 2级
2024-06-30, 星期日 ,33℃,22℃,多云,东北风 2级
2024-07-01, 星期一 ,30℃,23℃,小雨~多云,西南风 2级
2024-07-02, 星期二 ,34℃,25℃,阴~多云,东北风 1级
2024-07-03, 星期三 ,32℃,24℃,阴~小雨,东南风 1级
2024-07-04, 星期四 ,33℃,26℃,多云~小雨,西风 1级
2024-07-05, 星期五 ,31℃,26℃,小雨~多云,西南风 1级
2024-07-06, 星期六 ,33℃,29℃,多云,东南风 2级
2024-07-07, 星期日 ,37℃,29℃,阴,东南风 3级
2024-07-08, 星期一 ,33℃,27℃,阴~中雨,东南风 2级
2024-07-09, 星期二 ,31℃,26℃,阴~中雨,西北风 1级
2024-07-10, 星期三 ,30℃,26℃,阴~中雨,西南风 1级
2024-07-11, 星期四 ,30℃,25℃,小雨,西南风 1级
2024-07-12, 星期五 ,36℃,26℃,阴~小雨,西南风 1级
2024-07-13, 星期六 ,35℃,27℃,大雨~中雨,东北风 1级
2024-07-14, 星期日 ,29℃,26℃,阴~多云,西南风 1级
2024-07-15, 星期一 ,37℃,28℃,阴~多云,东南风 2级
2024-07-16, 星期二 ,38℃,29℃,阴~晴,东南风 3级
2024-07-17, 星期三 ,37℃,29℃,阴~多云,东南风 3级
2024-07-18, 星期四 ,36℃,30℃,阴~晴,东南风 2级
2024-07-19, 星期五 ,37℃,30℃,阴~多云,东南风 3级
2024-07-20, 星期六 ,35℃,29℃,阴~多云,东南风 2级
2024-07-21, 星期日 ,39℃,30℃,多云~晴,东南风 3级
2024-07-22, 星期一 ,39℃,31℃,多云~晴,南风 2级
2024-07-23, 星期二 ,40℃,29℃,阴~多云,东南风 2级
2024-07-24, 星期三 ,38℃,30℃,阴~多云,东北风 1级
2024-07-25, 星期四 ,36℃,27℃,阴~多云,西南风 2级
2024-07-26, 星期五 ,36℃,29℃,小雨~多云,西风 1级
2024-07-27, 星期六 ,37℃,27℃,小雨~中雨,西北风 1级
2024-07-28, 星期日 ,28℃,26℃,中雨~阴,西风 2级
2024-07-29, 星期一 ,30℃,26℃,阴~小雨,西南风 2级
2024-07-30, 星期二 ,32℃,26℃,阴~多云,西南风 2级
2024-07-31, 星期三 ,31℃,24℃,晴,东风 1级
2024-08-01, 星期四 ,37℃,27℃,阴~晴,东风 1级
2024-08-02, 星期五 ,38℃,28℃,阴~晴,东南风 2级
2024-08-03, 星期六 ,35℃,28℃,阴,东风 1级
2024-08-04, 星期日 ,33℃,26℃,晴,西北风 1级
2024-08-05, 星期一 ,32℃,26℃,多云转小雨,东北风 1级
2024-08-01, 星期四 ,37℃,27℃,阴~晴,东风 1级
2024-08-02, 星期五 ,38℃,28℃,阴~晴,东南风 2级
2024-08-03, 星期六 ,35℃,28℃,阴,东风 1级
2024-08-04, 星期日 ,33℃,26℃,晴,西北风 1级
2024-08-05, 星期一 ,32℃,26℃,多云转小雨,东北风 1级
2024-08-01, 星期四 ,37℃,27℃,阴~晴,东风 1级
2024-08-02, 星期五 ,38℃,28℃,阴~晴,东南风 2级
2024-08-03, 星期六 ,35℃,28℃,阴,东风 1级
2024-08-04, 星期日 ,33℃,26℃,晴,西北风 1级
2024-08-05, 星期一 ,32℃,26℃,多云转小雨,东北风 1级
2024-08-01, 星期四 ,37℃,27℃,阴~晴,东风 1级
2024-08-02, 星期五 ,38℃,28℃,阴~晴,东南风 2级
2024-08-03, 星期六 ,35℃,28℃,阴,东风 1级
2024-08-04, 星期日 ,33℃,26℃,晴,西北风 1级
2024-08-05, 星期一 ,32℃,26℃,多云转小雨,东北风 1级
2024-08-01, 星期四 ,37℃,27℃,阴~晴,东风 1级
2024-08-02, 星期五 ,38℃,28℃,阴~晴,东南风 2级
2024-08-03, 星期六 ,35℃,28℃,阴,东风 1级
2024-08-04, 星期日 ,33℃,26℃,晴,西北风 1级
2024-08-05, 星期一 ,32℃,26℃,多云转小雨,东北风 1级
